investor_name,Number of Investments,Location,Full Description,Exit Date,Categories,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Liquidity Event Score,Funding Date Score,Total Score,Rank
Siemens,21,"Munich, Bayern, Germany","Siemens AG, an electronics and electrical engineering company, operates in the industry, energy, and healthcare sectors worldwide. The company, formerly known as Siemens & Halske, was founded in 1847 and is headquartered in Munich, Germany. Siemens' principal activities are in the fields of industry, energy, transportation and healthcare. It is organized into five main divisions: Industry, Energy, Healthcare, Infrastructure & Cities, and Siemens Financial Services (SFS). Siemens and its subsidiaries employ approximately 360,000 people across nearly 190 countries and reported global revenue of approximately 73.5 billion euros for the year of 2011. In the industry sector, the company's portfolio ranges from industry automation and drives products and services to building, lighting, and mobility solutions and services, as well as includes system integration and solutions for plant business. It offers automation and drives, industrial solutions and services, transportation systems, Siemens building technologies, and OSRAM lighting solutions.  In the energy sector, the company provides various solutions for the generation, transmission, and distribution of power, as well as for the extraction, conversion, and transport of oil and gas in the oil and gas industry. Siemens Energy Service delivers service solutions for gas turbines, steam turbines, generators or wind turbines to increase efficiency, reliability and availability throughout the entire lifecycle. From modernizations and upgrades, remote monitoring, lifetime extensions, and condition monitoring to logistical and turnkey service for onshore and offshore wind turbines, Siemens energy services work to achieve maximum success and efficiency. In the healthcare sector, Siemens develops, manufactures, and markets diagnostic and therapeutic systems, devices, and consumables, as well as offers IT systems for clinical and administrative purposes.  Other services include technical maintenance, professional, and consulting services. Siemens AG offers IT solutions and services, primarily information and communications systems. Further, the company provides financial products and services comprising commercial finance, equity and project finance, treasury and investment management, and project and export finance. Siemens AG offers insurance solutions, such as claims management, as well as acts as a broker of company-financed insurances for employees on business trips and foreign assignments.  The company has equity investments in Nokia Siemens Networks B.V., a telecommunications infrastructure company; and BSH Bosch und Siemens Hausgerate GmbH, a household appliance producer.",3/23/2001,"Consumer Electronics, Electrical Distribution, Electronics, Energy Efficiency, Health Care, Innovation Management, Manufacturing, Medical, Software",3/15/2018,5169148062,Post-IPO Equity,0,0,5169148062,1
Galapagos,1,"Mechelen-bovelingen, Limburg, Belgium","Galapagos (Euronext: GLPG; OTC: GLPYY) is a mid-size biotechnology company specialized in the discovery and development of small molecule and antibody therapies with novel modes-of-action. The Company is progressing one of the largest pipelines in biotech, with six clinical and over 50 small molecule discovery/pre-clinical programs. Through risk/reward-sharing alliances with GlaxoSmithKline, Lilly, Janssen Pharmaceutica, Merck & Co., Roche and Servier, Galapagos is eligible to receive up to â‚¬3.3 billion in downstream milestones, plus royalties. The Galapagos Group has over 800 employees and operates facilities in seven countries, with global headquarters in Mechelen, Belgium.",10/5/2017,"Biopharma, Biotechnology, Clinical Trials, Medical",7/14/2019,5100000000,Post-IPO Equity,0,269,5100000269,2
Ping An,17,"Shenzhen, Guangdong, China","Ping An Insurance (Group) Company of China, Ltd. (""Ping An"" or the “Company” or the “Group"") was established in 1988 in Shekou, Shenzhen. The Group is the first insurance company in China to adopt a shareholding structure. Today, it has developed into a personal integrated financial services group with three core businesses of insurance, banking and investment, enjoying parallel growth of its traditional and non-traditional financial businesses. The Group’s shares are listed on the Hong Kong Stock Exchange (stock code: 2318) and on the Shanghai Stock Exchange (stock code: 601318).   Ping An’s vision is to become China’s leading personal integrated financial services provider, establishing a traditional business framework supported by the Group’s three pillars of business, namely insurance, banking and investment, and continuing to promote the parallel growth of its traditional and non-traditional financial businesses. For the traditional business, Ping An will focus on building up the financial supermarket and promoting customer migration. For the non-traditional business, the Group will strive for innovation by weaving financial services into the very fabric of everyday life: health, food, housing, transportation and entertainment, establish the integrated financial services platform of “One Customer, One Account, Multiple Products, and One-Stop Services”, deliver customers a brand experience of “Expertise makes life easier”, achieve sustainable growth in profits, and provide long-term and stable returns to shareholders.",3/9/2007,"Banking, Financial Services, Health Care, Insurance, Medical",12/1/2014,4750000000,Post-IPO Equity,0,0,4750000000,3
Canopy Growth,3,"Smiths Falls, Ontario, Canada","Canopy Growth is publicly traded on the TSX and a leading diversified producer of medical cannabis through its wholly owned subsidiaries Tweed, Bedrocan Canada, and Tweed Farms. The Company operates a collection of diverse brands and curated strain variety, supported by over half a million square feet of indoor and greenhouse production capacity.",7/27/2016,"Cannabis, Health Care, Medical, Pharmaceutical",8/15/2018,3803018836,Post-IPO Equity,0,0,3803018836,4
Bayer,12,"Leverkusen, Nordrhein-Westfalen, Germany","Bayer operates as a life science company worldwide. It operates through Pharmaceuticals, Consumer Health, Crop Science, and Animal Health segments.  The Pharmaceuticals segment offers prescription products primarily for cardiology and women’s health care; specialty therapeutics in the areas of oncology, hematology, and ophthalmology; and diagnostic imaging equipment and contrast agents. The Consumer Health segment markets nonprescription over-the-counter medicines, medical products, cosmetics, and self-care solutions in the dermatology, nutritional supplements, pain and cardiovascular risk prevention, digestive health, allergy, cold and cough, foot care, and sun protection categories.  The Crop Science segment offers chemical and biological crop protection products, improved plant traits, seeds, digital solution, and pest and weed control products, as well as customer service for agriculture. This segment also provides breeding, propagation, and production/processing of seeds, including seed dressing.  The Animal Health segment develops and markets products and solutions for the prevention and treatment of disease in companion and farm animals to veterinarians. Bayer has a collaboration agreement with MD Anderson Cancer Center at the University of Texas to develop cancer treatments; and research collaboration agreements with Haplogen and Kyoto University to identify new drugs candidates for the treatment of pulmonary diseases.  Bayer distributes its products through wholesalers, pharmacies, supermarket and drugstore chains, online and other retailers, and hospitals, as well as directly to farmers. It has strategic research alliance with Kyoto University to jointly identify new drug targets for the treatment of pulmonary diseases, such as idiopathic pulmonary fibrosis.  Friedrich Bayer and Johann Friedrich Weskott founded Bayer on August 1, 1863. It has its headquarters in Leverkusen in Germany.",10/2/2009,"Biotechnology, Health Care, Life Science, Medical, Personal Health, Pharmaceutical",4/17/2018,3711777966,Post-IPO Equity,0,0,3711777966,5
Roche,6,"Basel, Basel-Stadt, Switzerland","Roche Holding AG is the owner of F. Hoffmann-La Roche Ltd., a provider of in-vitro diagnostics and drugs for cancer and transplantation. It specializes in medicines for oncology, virology, inflammation, metabolism, CNS, clinical chemistry, immunology, urinalysis, blood screening, genetics, infectious diseases, and microbiology. F. Hoffmann-La Roche Ltd. serves  hospitals, research labs, private medical labs, practicing physicians, and patients. Its products include cancer treatments, such as Avastin, Herceptin, and MabThera that are also effective in the treatment of rheumatoid arthritis, anemia, and osteoporosis. F. Hoffmann-La Roche Ltd., also conducts research and development as well as production related to molecular diagnostic reagents, test systems, and test kits. In addition, it provides automated instruments, software, consumables, and IT solutions used in in-vitro diagnostics and research. F. Hoffmann-La Roche Ltd was established in 1896 and is based in Basel, Switzerland.",3/14/2003,"Biotechnology, Health Diagnostics, Pharmaceutical",5/8/2001,2790000000,Post-IPO Equity,0,0,2790000000,6
COFCO,2,"Beijing, Beijing, China","COFCO is the largest supplier of diversified products and services in the agricultural products and food industry in China. It is devoted to utilizing renewable natural resources to provide healthy and nutritious food, high quality lifestyle and services, as well as contributing to improve people’s living standards, social prosperity and stability. COFCO plays a pivotal role as a bridge in the markets of edible oils and foodstuff between China and the world, and serves as the main importing and exporting channel for bulk agricultural products such as wheat, corn, rice and sugar. As an investment holding company specialized in trade and processing of oil and foodstuff as well as other businesses, COFCO continuously strives to upgrade its oil and foodstuff chains, which include those of oils and oilseeds, corn, wheat, rice, wine, tomatoes, dairy products, meat, barley, tea, chocolate and various other products. In light of China's economic growth, return on shareholders’ value and available business resources, COFCO is also involved in the development of real estate, hotels, non-grain bio-energy, packaging, finance and other industries.",,"Agriculture, Biotechnology, Food Processing, Oil and Gas",7/16/2019,2100000000,Debt Financing,0,271,2100000271,7
Baxter International,8,"Deerfield, Illinois, United States","Baxter International Inc. develops, manufactures, and markets products for people with hemophilia, immune disorders, infectious diseases, kidney disease, trauma, and other chronic and acute medical conditions. The company operates through three segments: BioScience, Medication Delivery, and Renal. - The BioScience segment manufactures recombinant and plasma-based proteins to treat hemophilia and other bleeding disorders; plasma-based therapies to treat immune deficiencies, alpha 1-antitrypsin deficiency, burns and shock, and other chronic and acute blood-related conditions; products for regenerative medicine, such as biosurgery products and technologies used in adult stem-cell therapies; and vaccines. - The Medication Delivery segment manufactures intravenous solutions and administration sets; premixed drugs and drug-reconstitution systems; pre-filled vials and syringes for injectable drugs, intravenous nutrition products; infusion pumps; and inhalation anesthetics. This segment also offers products and services related to pharmacy compounding, drug formulation, and packaging technologies. - The Renal segment provides products to treat end-stage renal disease and irreversible kidney failure. This segment also offers solutions and other products for peritoneal dialysis, a home-based therapy and product for hemodialysis, which is conducted in a hospital or clinic. Baxter International Inc. has collaborations with HHD LLC, DEKA Products Limited Partnership, and DEKA Research and Development Corp. for the development of a home hemodialysis machine. It markets its products to hospitals, kidney dialysis centers, nursing homes, rehabilitation centers, doctors offices, clinical and medical research laboratories, and patients at home under physician supervision. The company was founded in 1931 and is headquartered in Deerfield, Illinois.",1/13/1978,"Biotechnology, Clinical Trials, Medical",5/15/2019,1680000000,Post-IPO Debt,0,209,1680000209,8
WuXi AppTec,23,"Shanghai, Shanghai, China","WuXi AppTec (药明康德) is a global pharmaceutical, biopharmaceutical, and medical device outsourcing company with operations in China and the United States. It provides a broad and integrated portfolio of services throughout the research, development, manufacturing, and regulatory process. Founded in December 2000, WuXi AppTec is also focused on lowering the expense of R&D through efficient outsourcing solutions.",12/6/2018,"Biotechnology, Health Care, Medical Device, Pharmaceutical",3/6/2016,1500000000,Debt Financing,49,0,1500000049,9
Wellcome Trust,99,"London, England, United Kingdom",Wellcome Trust is a UK-based medical research charity that funds research with the ultimate aim of protecting and improving human and animal health.  They fund UK and international research.,,"Biotechnology, Health Care, Medical, Non Profit",1/31/2018,1064933995,Debt Financing,0,0,1064933995,10
