Organization/Person Name,Number of Investments,Location,Exit Date,Categories,Last Funding Date, Last Funding Amount Currency (in USD) ,Last Funding Type
University Hospitals,2,"Cleveland, Ohio, United States",,Health Care,10/11/2019,,Grant
Sorrento Therapeutics,3,"San Diego, California, United States",1/11/2010,"Biotechnology, Health Care, Medical",10/9/2019," $25,000,000.00 ",Post-IPO Equity
TerrAscend,,"Mississauga, Ontario, Canada",5/4/2017,"Cannabis, Clinical Trials, Health Care, Medical, Pharmaceutical",10/2/2019," $10,000,000.00 ",Post-IPO Equity
Cleveland Clinic,8,"Cleveland, Ohio, United States",,"Health Care, Hospital, Non Profit",9/20/2019," $2,000,000.00 ",Grant
Ginkgo Bioworks,4,"Boston, Massachusetts, United States",,"Alternative Medicine, Biopharma, Biotechnology, Chemical, Health Care, Life Science, Medical, Nutrition",9/19/2019," $290,000,000.00 ",Series E
Lenskart.com,3,"Faridabad, Haryana, India",,"Delivery, E-Commerce, Eyewear, Fashion, Health Care, Internet, Shopping",9/16/2019," $55,000,000.00 ",Private Equity
Aurora Cannabis,5,"Cremona, Alberta, Canada",7/4/2014,"Cannabis, Medical, Pharmaceutical",9/9/2019," $160,000,000.00 ",Post-IPO Debt
immatics biotechnologies,1,"Tübingen, Baden-Wurttemberg, Germany",,"Biotechnology, Manufacturing, Medical, Therapeutics",9/5/2019," $75,000,000.00 ",Venture - Series Unknown
University of Arkansas for Medical Sciences,,"Little Rock, Arkansas, United States",,"Health Care, Hospital, Universities",9/5/2019," $2,500,000.00 ",Grant
Aier Eye Hospital Group,1,"Changsha, Jiangsu, China",11/6/2009,"Health Care, Medical",9/3/2019," $258,392,389.00 ",Post-IPO Equity
SkylineDx,1,"Rotterdam, Zuid-Holland, The Netherlands",,"Biotechnology, Health Care, Health Diagnostics",9/2/2019," $21,927,011.00 ",Venture - Series Unknown
Advocate Aurora Health,2,"Milwaukee, Wisconsin, United States",,Health Care,8/20/2019," $10,170,000.00 ",Grant
Juvenescence,9,"Douglas, NA - Isle of Man, Isle of Man",,"Biopharma, Biotechnology, Pharmaceutical",8/19/2019," $100,000,000.00 ",Series B
Inovio Pharmaceuticals,1,"Blue Bell, Pennsylvania, United States",12/18/1998,"Biotechnology, Health Care, Therapeutics",8/6/2019," $14,843,429.00 ",Post-IPO Debt
BioSTL,1,"St Louis, Missouri, United States",,"Biotechnology, Life Science, Medical",8/6/2019," $1,500,000.00 ",Grant
University of Connecticut,1,"Storrs Mansfield, Connecticut, United States",,"Education, Health Care, Universities",8/1/2019," $2,250,000.00 ",Grant
BioGenerator,51,"St Louis, Missouri, United States",,"Biotechnology, Incubators, Pharmaceutical",7/30/2019," $750,000.00 ",Grant
HC Surgical Specialist,2,"Singapore, Central Region, Singapore",11/4/2016,Health Care,7/29/2019," $3,650,000.00 ",Post-IPO Equity
MEDIHERE,,"Seoul, Seoul-t'ukpyolsi, South Korea",,"Big Data, Content, E-Commerce, E-Commerce Platforms, Health Care, Information Services, Information Technology, Internet, Medical, Wellness",7/25/2019," $577,405.00 ",Seed
