Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Full Description,Description,Estimated Revenue Range,Operating Status,Exit Date,Exit Date Precision,Founded Date,Founded Date Precision,Company Type,Investor Type,Investment Stage,Categories,Funding Status,Last Funding Date,Number of Funding Rounds,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Number of Investors,Acquisition Status,Number of Exits (IPO),Number of Portfolio Organizations,CB Rank (Investor),Trend Score (90 Days)
University Hospitals,https://www.crunchbase.com/organization/university-hospitals,2,,"Cleveland, Ohio, United States","University Hospitals developed a new vision, a new strategy and a new model for healthcare delivery. This new vision called for University Hospitals to better meet the healthcare needs of a significant portion of northeast Ohio through geographic expansion and an increase in the types of services they offer.","In 1993, University Hospitals developed a new vision, a new strategy and a new model for healthcare delivery.",$100M to $500M,Active,,,1866-05-14,day,,University Program,,Health Care,,10/11/2019,2,,,,Grant,9600000,USD,9600000,,,,2,,,1,942,6.1
Sorrento Therapeutics,https://www.crunchbase.com/organization/sorrento-therapeutics,3,,"San Diego, California, United States","Sorrento Therapeutics is a development-stage biopharmaceutical company engaged in the acquisition, discovery, development and commercialization of proprietary drug therapeutics for addressing significant unmet medical needs.  Sorrento’s late stage pipeline include Cynviloq™ (paclitaxel in polymeric micelle formulation) currently in a registrational bio-equivalent study versus albumin-bound paclitaxel; and Resiniferatoxin (RTX),which is in a Phase 1/2 study at the NIH to treat terminal cancer patients suffering from intractable pain.  Sorrento has one of the industry’s most diverse antibody (G-MAB®) library comprised of high-quality, fully human antibodies with a diversity of more than ten trillion (>10^16). Along with its' proprietary conjugation chemistries and novel toxins, Sorrento has all in-house capabilities to generate and develop a new generation of homogenous ADCs with well-defined drug antibody ratios (DAR) in contrast to approved ADCs, which are heterogeneous mixtures with different DARs. These differentiating characteristics may lead to improved ADC stability and pharmacokinetics while reducing off-target effects compared to existing ADCs. Sorrento's primary therapeutic focus is cancer although its products and technologies have much broader clinical applications including autoimmune disorders, metabolic diseases and infectious diseases.",Sorrento Therapeutics is focused on the development of proprietary drug therapeutics for addressing unmet medical needs.,,Active,1/11/2010,day,1/1/2006,year,For Profit,,,"Biotechnology, Health Care, Medical",IPO,10/9/2019,7,25000000,USD,25000000,Post-IPO Equity,262568495,USD,262568495,185718495,USD,185718495,1,,,3,645,-0.1
TerrAscend,https://www.crunchbase.com/organization/terrascend,,,"Mississauga, Ontario, Canada","TerrAscend is a vertically-integrated Canadian cannabis company that strives to create and deliver quality products and services that meet the evolving needs of the cannabis market. The Company provides support to patients through its wholly-owned subsidiaries, Solace Health Inc., a licensed producer of cannabis under the Access to Cannabis for Medical Purposes Regulations, and Terra Health Network Inc., a provider of clinical support and education programs led by health care professionals. ",A vertically-integrated Canadian cannabis company .,,Active,5/4/2017,day,1/1/2017,year,,,,"Cannabis, Clinical Trials, Health Care, Medical, Pharmaceutical",IPO,10/2/2019,3,10000000,USD,10000000,Post-IPO Equity,113648354,USD,113648354,113648354,USD,113648354,3,Made Acquisitions,,,367,8.1
Cleveland Clinic,https://www.crunchbase.com/organization/cleveland-clinic,8,3,"Cleveland, Ohio, United States","Cleveland Clinic is a non-profit academic medical center that integrates clinical and hospital care with research and education. The mission of Cleveland Clinic is to provide better care of the sick, investigation into their problems, and further education of those who serve. In 2008, Cleveland Clinic became the first healthcare provider in the United States to become a signatory to the United Nations Global Compact and the second in the world. Cleveland Clinic was founded in 1921 and is headquartered in Cleveland, Ohio, United States.",Cleveland Clinic is a non-profit academic medical center that integrates clinical and hospital care with research and education.,,Active,,,1/1/1921,year,Non-profit,,,"Health Care, Hospital, Non Profit",Seed,9/20/2019,10,2000000,USD,2000000,Grant,38100000,USD,38100000,3700000,USD,3700000,6,Made Acquisitions,3,7,74,-1.6
Ginkgo Bioworks,https://www.crunchbase.com/organization/ginkgo-bioworks,4,1,"Boston, Massachusetts, United States","Ginkgo Bioworks designs, engineers, develops, tests, and licenses organisms. It discovers molecules in flavors, sweeteners, cosmetic ingredients, crop treatments, and pharmaceuticals.  Gingko Bioworks also provides probiotic bacteria to protect the body from dangerous infections, and it generates libraries of molecules. It serves cultured ingredients, carbon mitigation, probiotics, and natural product discovery markets.  Tom Knight, Reshama Shetty, Jason Kelly, Barry Canton, and Austin Che founded Ginkgo Bioworks in 2009. Its headquarters in Boston in Massachusetts.",Ginkgo designs custom microbes for customers across multiple markets.,,Active,,,1/1/2009,year,For Profit,,,"Alternative Medicine, Biopharma, Biotechnology, Chemical, Health Care, Life Science, Medical, Nutrition",Late Stage Venture,9/19/2019,7,290000000,USD,290000000,Series E,719120000,USD,719120000,719120000,USD,719120000,27,Made Acquisitions,1,3,12,9.3
Lenskart.com,https://www.crunchbase.com/organization/lenskart-com,3,,"Faridabad, Haryana, India","Lenskart, the first of its kind online optical store in India, has made it possible to acquire a good quality pair of specs with prescription lenses for just Rs. 399, all this while you sit in the comfort of your home. With a 48-hour free home delivery guarantee and 365 days return policy, Lenskart.com is doing what ecommerce hasn’t been able to do in India yet.  The website has over 500 designs of eyeframes, in multiple colors, for all age groups, from Rs. 399 all the way to Rs. 4,000 for a pair. All one needs to do is select a frame, fill in their power, and place order. You can pay online or at the time of delivery.  Lenskart.com has the biggest collection of discounted contact lenses consisting all top-notch brands (viz. Johnson & Johnson, Bausch & Lomb, Ciba Vision are to name a few) and be it disposable, toric, coloured or bi-focal contact lenses, you can find all possible types here. Lenskart is dedicated to providing its customers with a simple, hassle-free way to replace their contact lenses. One can receive the exact same contact lens, their doctor prescribed, delivered to their door, at a great price.",Lenskart is India’s leading online shopping portal for eyewear.,$10M to $50M,Active,,,1/1/2010,year,For Profit,,,"Delivery, E-Commerce, Eyewear, Fashion, Health Care, Internet, Shopping",Private Equity,9/16/2019,8,55000000,USD,55000000,Private Equity,184629631,USD,184629631,184629631,USD,184629631,11,,,3,158,9
Aurora Cannabis,https://www.crunchbase.com/organization/aurora-cannabis,5,2,"Cremona, Alberta, Canada","Aurora Cannabis is a medical marijuana producer.Aurora is committed to providing all of its patients with the highest standard of product quality, customer service, and affordable pricing.",Aurora Cannabis is a medical marijuana producer.,,Active,7/4/2014,day,1/1/2013,year,For Profit,,,"Cannabis, Medical, Pharmaceutical",IPO,9/9/2019,3,160000000,USD,160000000,Post-IPO Debt,429000000,USD,429000000,69000000,USD,69000000,1,Made Acquisitions,2,5,31,7.7
immatics biotechnologies,https://www.crunchbase.com/organization/immatics-biotechnologies,1,,"Tübingen, Baden-Wurttemberg, Germany","immatics is a biopharmaceutical company focused on the development of immunotherapeutic substances for cancer therapy.  immatics has a good track record of success: They are optimistic that they have found a way to develop drugs against cancer that might one day help many cancer patients. The product candidates are designed to have less severe side effects than currently available treatment options. immatics has developed peptide-based active immunotherapy with unprecedented speed and efficiency, setting new standards for discovery and development in this area of oncology drug development. Our technology can also lead towards the development of novel immunotherapies based on antibodies and T-cell receptors.  immatics is currently working on the development of new substances for a number of specific cancer types. Their most advanced product is currently being developed in a phase 3 clinical trial for kidney cancer. Final results for this trial are expected in 2015. A second product targeting colorectal cancer has just completed a large phase 1/2 clinical trial and a third cancer vaccine has entered several phase 1 clinical trials in brain cancer. They also have active earlier programs in several other tumor types including gastric cancer, non-small-cell lung cancer and prostate cancer which are being developed in collaboration with our partner Roche.",immatics is a biopharmaceutical company focused on the development of immunotherapeutic substances for cancer therapy.,$10M to $50M,Active,,,1/1/2000,year,For Profit,,,"Biotechnology, Manufacturing, Medical, Therapeutics",,9/5/2019,8,75000000,USD,75000000,Venture - Series Unknown,342233153,USD,342233153,342233153,USD,342233153,17,,,1,787,5.8
University of Arkansas for Medical Sciences,https://www.crunchbase.com/organization/university-of-arkansas-for-medical-sciences-2,,,"Little Rock, Arkansas, United States","As Razorback nation’s medical campus, the University of Arkansas for Medical Sciences is a hub for medical treatment, research and academics. UAMS offers an impressive number of academic programs through its many divisions:   * College of Medicine   * College of Pharmacy   * College of Nursing   * College of Health Related Professions   * College of Public Health   * Graduate School As you can expect, a great number of programs are available through these schools and colleges. University of Arkansas for Medical Sciences offers undergraduate and graduate academics, ranging from certificates to master’s and doctoral degrees. With such exhaustive academics comes equally extensive research. Some research opportunities at University of Arkansas for Medical Sciences are more straightforward, while others are quite unusual. For example, students in the Psychiatric Research Institute were recently able to enrich college life by talking to actors in the Arkansas Repertory Theatre. Admissions requirements at University of Arkansas for Medical Sciences are very program-specific. The admissions process is handled through the individual college you’re applying to, so procedures and requirements may vary. This applies to financial aid, as well; so make sure to consult University of Arkansas for Medical Sciences for specific information.",University of Arkansas for Medical Sciences is a school in Little Rock.,,Active,,,1880-01-01,year,,University Program,,"Health Care, Hospital, Universities",,9/5/2019,5,2500000,USD,2500000,Grant,25642486,USD,25642486,,,,2,,,,"1,600",6.2
Aier Eye Hospital Group,https://www.crunchbase.com/organization/aier-eye-hospital-group,1,1,"Changsha, Jiangsu, China","Aier Eye Hospital Group offers surgery for myopia; prevention and treatment for myopia; treatment for cataract, glaucoma, pediatric ophthalmology, fundus disease, lacrimal disease, and cornea and ocular surface; and eye shaping beauty services.",Aier Eye Hospital Group operates as a professional ophthalmic medical chain institution.,,Active,11/6/2009,day,1/24/2003,day,For Profit,,,"Health Care, Medical",IPO,9/3/2019,1,1855000000,CNY,258392389,Post-IPO Equity,1855000000,CNY,258392389,1855000000,CNY,258392389,2,Made Acquisitions,1,1,"1,684",9.6
